,price,manufacturer,graphics_copressor,ram,num_processors,touchable,ips,ppi,cpu_name,memory,os
279,1099.0,HP,NVIDIA,16,6,0,0,141.21199808219862,AMD Ryzen 5,1024,Windows
280,3009.0,Dell,NVIDIA,24,24,0,0,188.67962264113208,Intel Core i9,1024,Windows
281,1679.0,Samsung,NVIDIA,24,6,0,0,141.21199808219862,Intel Core i7,1024,Windows
282,1632.0,Acer,NVIDIA,24,8,0,1,127.33567457123111,Intel Core i5,1024,Windows
283,3699.0,Dell,NVIDIA,32,14,1,0,261.2487082723367,Intel Core i9,1024,Windows
284,2374.0,Dell,NVIDIA,32,24,0,0,141.21199808219862,Intel Core i9,1024,Windows
285,2499.0,Acer,NVIDIA,32,6,0,0,183.5755975068582,Intel Core i9,1024,Windows
287,3499.0,Dell,NVIDIA,32,1,1,0,266.3712319639512,Intel Core i9,1024,Windows
288,1859.0,Acer,NVIDIA,32,14,0,0,161.72539083525606,Intel Core i7,1024,Windows
289,2299.0,Acer,NVIDIA,32,14,0,1,141.21199808219862,Intel Core i7,1024,Windows
